type,ESTIMATE_TYPE,area,year,MGMT_AREA,VESSEL_COUNT,BOAT_DAYS,SOCKEYE_KEPT,COHO_KEPT,PINK_KEPT,CHUM_KEPT,CHINOOK_KEPT,NOTES
Gillnet,POST-SEASON,C,1996,1,,47,161,62,373,856,3,
Gillnet,POST-SEASON,C,1996,2,,154,18,596,274,36047,1,
Gillnet,POST-SEASON,C,1996,3,,5299,508731,25441,182446,98104,5942,
Gillnet,POST-SEASON,C,1996,4,,14324,2480247,49219,411840,107099,19946,
Gillnet,POST-SEASON,C,1996,5,,622,63907,5440,18867,8543,161,
Gillnet,POST-SEASON,C,1996,6,,32,838,120,1381,662,48,
Gillnet,POST-SEASON,C,1996,7,,289,156,680,3376,26364,11,
Gillnet,POST-SEASON,C,1996,8,,1942,21025,10187,46259,211915,6395,
Gillnet,POST-SEASON,C,1996,10,,191,8700,433,513,1310,30,
Gillnet,POST-SEASON,D,1996,11,,34,6487,192,449,91,2,
Gillnet,POST-SEASON,D,1996,12,,670,64078,2687,5099,4755,70,
Gillnet,POST-SEASON,D,1996,13,,172,20381,251,288,1031,251,
Gillnet,POST-SEASON,E,1996,21,,1691,9,348,0,99511,54,
Gillnet,POST-SEASON,E,1996,29,,,704581,265,29,354,4171,
Gillnet,POST-SEASON,C,1997,1,,558,120616,4896,46887,20115,656,
Gillnet,POST-SEASON,C,1997,2,,186,156,380,244,18891,6,
Gillnet,POST-SEASON,C,1997,3,,2767,249759,5453,41401,30841,3273,
Gillnet,POST-SEASON,C,1997,4,,9593,1015155,16395,260105,56500,14618,
Gillnet,POST-SEASON,C,1997,5,,269,16690,1614,6973,5313,140,
Gillnet,POST-SEASON,C,1997,6,,125,4925,814,14259,4451,35,
Gillnet,POST-SEASON,C,1997,7,,266,167,709,1483,20957,3,
Gillnet,POST-SEASON,C,1997,8,,1598,7713,3240,83393,185745,2784,
Gillnet,POST-SEASON,D,1997,11,,666,133273,523,10776,928,155,
Gillnet,POST-SEASON,D,1997,12,,4214,677091,4388,61652,5016,583,
Gillnet,POST-SEASON,D,1997,13,,463,76877,181,4097,301,88,
Gillnet,POST-SEASON,E,1997,16,,7,325,0,15,0,1,
Gillnet,POST-SEASON,E,1997,20,,129,9349,39,448,32,105,
Gillnet,POST-SEASON,E,1997,21,,1945,118,87,112,220361,57,
Gillnet,POST-SEASON,D,1997,23,,697,52241,47,12,12,50,
Gillnet,POST-SEASON,D,1997,25,,333,10,78,0,86733,89,
Gillnet,POST-SEASON,E,1997,29,,,1286945,318,162590,12107,24239,
Gillnet,POST-SEASON,C,1998,1,,11,0,0,680,1412,0,
Gillnet,POST-SEASON,C,1998,2,,166,0,0,493,29999,1,
Gillnet,POST-SEASON,C,1998,3,,1850,131004,3,58152,79629,2483,
Gillnet,POST-SEASON,C,1998,4,,1618,88443,0,15516,17769,3528,
Gillnet,POST-SEASON,C,1998,5,,72,3372,0,1339,1599,28,
Gillnet,POST-SEASON,C,1998,6,,1071,14067,0,53665,230919,242,
Gillnet,POST-SEASON,C,1998,7,,220,25,0,302,28118,0,
Gillnet,POST-SEASON,C,1998,8,,2132,8533,0,42943,299998,4771,
Gillnet,POST-SEASON,D,1998,12,,840,146556,0,11166,72433,52,
