Year,Species.Group,Source,Species,Harvest,Landed Value,Wholesale Value
2022,Salmon,Farmed,Atlantic,84.258,837.628766,973.1649054
2022,Salmon,Farmed,Pacific,2.283,33.272532,50.72249313
2022,Salmon,Wild commercial,Chinook,1.366,10.63775,20.21200763
2022,Salmon,Wild commercial,Chum,0.942,4.289844,12.21932873
2022,Salmon,Wild commercial,Coho,0.498,2.912044,20.2631667
2022,Salmon,Wild commercial,Pink,1.81,1.529926,15.8804673
2022,Salmon,Wild commercial,Sockeye,3.618,20.88389,207.2357623
2023,Salmon,Farmed,Atlantic,47.562,463.819749,553.530887
2023,Salmon,Farmed,Pacific,2.503,40.49078,42.735627
2023,Salmon,Wild commercial,Chinook,1.487,11.027132,21.53264655
2023,Salmon,Wild commercial,Chum,0.485,1.247683,7.960072
2023,Salmon,Wild commercial,Coho,0.518,2.663207,26.038665
2023,Salmon,Wild commercial,Pink,3.563,2.029559,18.17650085
2023,Salmon,Wild commercial,Sockeye,1.213,6.418695,155.119708
2021,Groundfish,Wild commercial,"Arrowtooth flounders, wild",2.73,0.66,2.55
2021,Groundfish,Wild commercial,"Hake, wild",67.58,14.9,69.13
2021,Groundfish,Wild commercial,"Halibut, wild",3.21,43.54,89.88
2021,Groundfish,Wild commercial,"Lingcod, wild",1.26,4.79,9.98
2021,Groundfish,Wild commercial,"Other groundfish, wild",0.17,0.3,8.63
2021,Groundfish,Wild commercial,"Pacific cod, wild",0.72,1.15,6.42
2021,Groundfish,Wild commercial,"Pollock, wild",9.48,3.97,8.5
2021,Groundfish,Wild commercial,"Rockfish, wild",16.01,14.8,42.19
2021,Groundfish,Wild commercial,"Sablefish, wild",3.03,24.99,30.87
2021,Groundfish,Wild commercial,"Skates, wild",0.34,0.44,0.59
2021,Groundfish,Wild commercial,"Soles, wild",3.59,5.76,11.65
2021,Herring,Wild commercial,"Herring food, bait & other, wild",3.22,0.71,14.07
2021,Herring,Wild commercial,"Herring spawn-on-kelp, wild",0.14,2.67,2.47
2021,Herring,Wild commercial,"Roe herring, wild",10.24,6.29,29.75
2021,Invertebrates,Farmed,"Geoducks & other clams, farmed",0.99,8.44,11.44
2021,Invertebrates,Farmed,"Mussels, farmed",0.48,2.5,9.95
2021,Invertebrates,Farmed,"Oysters, farmed",8,20.06,32.27
2021,Invertebrates,Farmed,"Scallops & other invertebrates, farmed",0.04,1.09,5.71
2021,Invertebrates,Wild commercial,"Clams (excl. geoducks), wild",0.32,1.39,8.35
2021,Invertebrates,Wild commercial,"Crabs, wild",9.71,150.45,209.77
2021,Invertebrates,Wild commercial,"Geoducks, wild",1.29,43.15,52.9
2021,Invertebrates,Wild commercial,"Other invertebrates, wild",0.29,0.51,20.1
2021,Invertebrates,Wild commercial,"Prawns, wild",1.59,30.26,59.39
2021,Invertebrates,Wild commercial,"Sea cucumbers, wild",1.65,9.46,8.62
2021,Invertebrates,Wild commercial,"Sea urchins green, wild",0.29,1.25,2.96
2021,Invertebrates,Wild commercial,"Sea urchins red, wild",3.44,8.42,14.81
2021,Invertebrates,Wild commercial,"Shrimp, wild",0.17,1.52,4.1
2021,Other seafood,Farmed,"Other, farmed",14.98,20.94,40.2
2021,Other seafood,Wild commercial,"Other, wild",0.73,0.1,43.34
2021,Other seafood,Wild commercial,"Tuna, wild",2.4,18.31,51.02
2021,Salmon,Farmed,Atlantic,81.12,663.91,730.97
2021,Salmon,Farmed,Pacific,3.05,39.01,46.01
2021,Salmon,Wild commercial,Chinook,1.57,13.82,25.89
2021,Salmon,Wild commercial,Chum,0.32,0.92,9.92
2021,Salmon,Wild commercial,Coho,0.34,1.69,19.85
2021,Salmon,Wild commercial,"Other salmon products, wild",,,8.22
2021,Salmon,Wild commercial,Pink,1.49,1.05,7.17
2021,Salmon,Wild commercial,Sockeye,0.5,2.43,123.02
2020,Groundfish,Wild commercial,"Arrowtooth flounders, wild",3,1.21,2.72
2020,Groundfish,Wild commercial,"Hake, wild",99.9,33.31,83.54
2020,Groundfish,Wild commercial,"Halibut, wild",3.12,35.12,64.68
2020,Groundfish,Wild commercial,"Lingcod, wild",0.86,4.36,6.66
2020,Groundfish,Wild commercial,"Other groundfish, wild",0.17,0.27,5.26
2020,Groundfish,Wild commercial,"Pacific cod, wild",0.49,0.8,4.5
2020,Groundfish,Wild commercial,"Pollock, wild",7.08,2.86,7.31
2020,Groundfish,Wild commercial,"Rockfish, wild",14.62,16.44,32.97
2020,Groundfish,Wild commercial,"Sablefish, wild",2.4,20.61,20.62
2020,Groundfish,Wild commercial,"Skates, wild",0.27,0.25,1.18
2020,Groundfish,Wild commercial,"Soles, wild",2.84,3.31,9.79
2020,Herring,Wild commercial,"Herring food, bait & other, wild",3.05,0.59,12.76
2020,Herring,Wild commercial,"Herring spawn-on-kelp, wild",0.04,1.08,2.63
2020,Herring,Wild commercial,"Roe herring, wild",8.25,6.64,24.65
2020,Invertebrates,Farmed,"Geoducks & other clams, farmed",0.83,6.2,8.04
2020,Invertebrates,Farmed,"Mussels, farmed",0.55,3.41,2.05
2020,Invertebrates,Farmed,"Oysters, farmed",5.16,13.43,19.52
2020,Invertebrates,Farmed,"Scallops & other invertebrates, farmed",0.12,1.67,4.95
2020,Invertebrates,Wild commercial,"Clams (excl. geoducks), wild",0.2,0.82,4.22
2020,Invertebrates,Wild commercial,"Crabs, wild",9.29,93.24,120.38
2020,Invertebrates,Wild commercial,"Geoducks, wild",1.19,36.32,40.66
