YEAR,GEO,DGUID,Seasonal adjustment,Estimates,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1961,Canada,2016A000011124,Seasonally adjusted at annual rates,Compensation of employees,Dollars,81,millions,6,v62305952,1.1.1,20520,,,,0
1961,Canada,2016A000011124,Seasonally adjusted at annual rates,Paid to residents by resident entities,Dollars,81,millions,6,v62305953,1.1.2,20488,,,,0
1961,Canada,2016A000011124,Seasonally adjusted at annual rates,Paid to residents by non-resident entities,Dollars,81,millions,6,v62305954,1.1.3,32,,,,0
1961,Canada,2016A000011124,Seasonally adjusted at annual rates,Plus: net mixed income,Dollars,81,millions,6,v62305955,1.1.4,4872,,,,0
1961,Canada,2016A000011124,Seasonally adjusted at annual rates,Non-farm,Dollars,81,millions,6,v62305956,1.1.5,2368,,,,0
1961,Canada,2016A000011124,Seasonally adjusted at annual rates,Farm,Dollars,81,millions,6,v62305957,1.1.6,904,,,,0
1961,Canada,2016A000011124,Seasonally adjusted at annual rates,Rental income of households,Dollars,81,millions,6,v62305958,1.1.7,1600,,,,0
1961,Canada,2016A000011124,Seasonally adjusted at annual rates,Plus: net property income,Dollars,81,millions,6,v62305959,1.1.8,1388,,,,0
1961,Canada,2016A000011124,Seasonally adjusted at annual rates,Property income received,Dollars,81,millions,6,v62305960,1.1.9,2348,,,,0
1961,Canada,2016A000011124,Seasonally adjusted at annual rates,Less: property income paid,Dollars,81,millions,6,v62305961,1.1.10,960,,,,0
1961,Canada,2016A000011124,Seasonally adjusted at annual rates,Equals: primary household income,Dollars,81,millions,6,v62305962,1.1.11,26780,,,,0
1961,Canada,2016A000011124,Seasonally adjusted at annual rates,Primary household income,Dollars,81,millions,6,v62305963,1.1.12,26780,,,,0
1961,Canada,2016A000011124,Seasonally adjusted at annual rates,Plus: current transfers received,Dollars,81,millions,6,v62305964,1.1.13,3108,,,,0
1961,Canada,2016A000011124,Seasonally adjusted at annual rates,From non-profit institutions serving households,Dollars,81,millions,6,v62305965,1.1.14,244,,,,0
1961,Canada,2016A000011124,Seasonally adjusted at annual rates,From corporations,Dollars,81,millions,6,v62305966,1.1.15,460,,,,0
1961,Canada,2016A000011124,Seasonally adjusted at annual rates,From general governments,Dollars,81,millions,6,v62305967,1.1.16,2336,,,,0
1961,Canada,2016A000011124,Seasonally adjusted at annual rates,Employment insurance benefits,Dollars,81,millions,6,v62305968,1.1.17,528,,,,0
1961,Canada,2016A000011124,Seasonally adjusted at annual rates,Social security benefits,Dollars,81,millions,6,v62305969,1.1.18,92,,,,0
1961,Canada,2016A000011124,Seasonally adjusted at annual rates,Other benefits,Dollars,81,millions,6,v62305970,1.1.19,1716,,,,0
1961,Canada,2016A000011124,Seasonally adjusted at annual rates,From non-residents,Dollars,81,millions,6,v62305971,1.1.20,68,,,,0
1961,Canada,2016A000011124,Seasonally adjusted at annual rates,Less: current transfers paid,Dollars,81,millions,6,v62305972,1.1.21,5016,,,,0
1961,Canada,2016A000011124,Seasonally adjusted at annual rates,To non-profit institutions serving households,Dollars,81,millions,6,v62305973,1.1.22,940,,,,0
1961,Canada,2016A000011124,Seasonally adjusted at annual rates,To corporations,Dollars,81,millions,6,v62305974,1.1.23,1108,,,,0
1961,Canada,2016A000011124,Seasonally adjusted at annual rates,To general governments,Dollars,81,millions,6,v62305975,1.1.24,2880,,,,0
1961,Canada,2016A000011124,Seasonally adjusted at annual rates,Personal income tax,Dollars,81,millions,6,v62305976,1.1.25,2188,,,,0
1961,Canada,2016A000011124,Seasonally adjusted at annual rates,Other current transfers,Dollars,81,millions,6,v62305977,1.1.26,692,,,,0
1961,Canada,2016A000011124,Seasonally adjusted at annual rates,Of which: contributions to social insurance plans,Dollars,81,millions,6,v62305978,1.1.27,440,,,,0
1961,Canada,2016A000011124,Seasonally adjusted at annual rates,To non-residents,Dollars,81,millions,6,v62305979,1.1.28,88,,,,0
1961,Canada,2016A000011124,Seasonally adjusted at annual rates,Equals: household disposable income,Dollars,81,millions,6,v62305980,1.1.29,24872,,,,0
