Year,Species.Group,Source,Species,Harvest,Landed Value,Wholesale Value,Price per kilo wholesale,Price per kilo landed
2023,Salmon,Farmed,Atlantic,47.562,463.819749,553.530887,11.63809106,9.751897502
2023,Salmon,Farmed,Pacific,2.503,40.49078,42.735627,17.07376229,16.17689972
2023,Salmon,Farmed,Farmed,50.065,504.310529,596.266514,11.90984748,10.07311553
2023,Salmon,Wild commercial,Chinook,1.487,11.027132,21.53264655,14.4805962,7.415690652
2023,Salmon,Wild commercial,Chum,0.485,1.247683,7.960072,16.41251959,2.572542268
2023,Salmon,Wild commercial,Coho,0.518,2.663207,26.038665,50.26769305,5.141326255
2023,Salmon,Wild commercial,Pink,3.563,2.029559,18.17650085,5.101459683,0.569620825
2023,Salmon,Wild commercial,Sockeye,1.213,6.418695,155.119708,127.8810453,5.291586974
2022,Salmon,Farmed,Atlantic,84.258,837.628766,973.1649054,11.54982204,9.941237224
2022,Salmon,Farmed,Pacific,2.283,33.272532,50.72249313,22.21747399,14.57403942
2022,Salmon,Farmed,Farmed,86.541,870.901298,1023.887399,11.83124067,10.06345314
2022,Salmon,Wild commercial,Chinook,1.366,10.63775,20.21200763,14.79649168,7.787518302
2022,Salmon,Wild commercial,Chum,0.942,4.289844,12.21932873,12.97168655,4.553974522
2022,Salmon,Wild commercial,Coho,0.498,2.912044,20.2631667,40.68908976,5.847477912
2022,Salmon,Wild commercial,Pink,1.81,1.529926,15.8804673,8.77373884,0.845262983
2022,Salmon,Wild commercial,Sockeye,3.618,20.88389,207.2357623,57.27909406,5.772219458
2021,Salmon,Farmed,Atlantic,81.12,663.91,730.97,9.011,8.184294872
2021,Salmon,Farmed,Pacific,3.05,39.01,46.01,15.0852,12.79016393
2021,Salmon,Farmed,Farmed,84.17,702.92,776.98,9.2311,8.351194012
2021,Salmon,Wild commercial,Chinook,1.57,13.82,25.89,16.4904,8.802547771
2021,Salmon,Wild commercial,Chum,0.32,0.92,9.92,31,2.875
2021,Salmon,Wild commercial,Coho,0.34,1.69,19.85,58.3824,4.970588235
2021,Salmon,Wild commercial,Pink,1.49,1.05,7.17,4.8121,0.704697987
2021,Salmon,Wild commercial,Sockeye,0.5,2.43,123.02,246.04,4.86
2020,Salmon,Farmed,Farmed,91.67,634.72,755.35,8.2399,6.923966401
2020,Salmon,Farmed,Atlantic,89.23,605.02,710.52,7.9628,6.780455004
2020,Salmon,Farmed,Pacific,2.44,29.7,44.83,18.373,12.17213115
2020,Salmon,Wild commercial,Chinook,1.33,9.92,16.49,12.3985,7.458646617
2020,Salmon,Wild commercial,Chum,1.51,4.48,13.45,8.9073,2.966887417
2020,Salmon,Wild commercial,Coho,0.39,1.89,23.8,61.0256,4.846153846
2020,Salmon,Wild commercial,Pink,4.97,4.86,12.24,2.4628,0.977867203
2020,Salmon,Wild commercial,Sockeye,0.29,1.02,126.6,436.5517,3.517241379
2019,Salmon,Farmed,Farmed,88.88,667.61,750,8.4383,7.511363636
2019,Salmon,Farmed,Atlantic,86.49,635.28,706.98,8.1741,7.345126604
2019,Salmon,Farmed,Pacific,2.39,32.33,43.02,18,13.52719665
2019,Salmon,Wild commercial,Chinook,1.35,7.88,16.2,12,5.837037037
2019,Salmon,Wild commercial,Chum,1.19,2.84,15.11,12.6975,2.386554622
2019,Salmon,Wild commercial,Coho,0.63,3.96,24.28,38.5397,6.285714286
