Area,Year,Type,Count,
A,1998,Seine,135,
B,1998,Seine,224,
C,1998,Gillnet,875,
D,1998,Gillnet,319,
E,1998,Gillnet,577,
F,1998,Troll,240,
G,1998,Troll,335,
H,1998,Troll,176,
A,1999,Seine,108,
B,1999,Seine,167,
C,1999,Gillnet,730,
D,1999,Gillnet,250,
E,1999,Gillnet,425,
F,1999,Troll,172,
G,1999,Troll,251,
H,1999,Troll,120,
A,2000,Seine,108,
B,2000,Seine,168,
C,2000,Gillnet,715,
D,2000,Gillnet,284,
E,2000,Gillnet,403,
F,2000,Troll,147,
G,2000,Troll,239,
H,2000,Troll,155,
A,2001,Seine,109,
B,2001,Seine,167,
C,2001,Gillnet,714,
D,2001,Gillnet,283,
E,2001,Gillnet,406,
F,2001,Troll,143,
G,2001,Troll,239,
H,2001,Troll,156,
A,2002,Seine,109,
B,2002,Seine,167,
C,2002,Gillnet,713,
D,2002,Gillnet,286,
E,2002,Gillnet,406,
F,2002,Troll,150,
G,2002,Troll,236,
H,2002,Troll,152,
A,2003,Seine,109,
B,2003,Seine,167,
C,2003,Gillnet,713,
D,2003,Gillnet,287,
E,2003,Gillnet,405,
F,2003,Troll,155,
G,2003,Troll,232,
H,2003,Troll,151,
A,2004,Seine,109,
B,2004,Seine,166,
C,2004,Gillnet,718,
D,2004,Gillnet,290,
E,2004,Gillnet,398,
F,2004,Troll,160,
G,2004,Troll,232,
H,2004,Troll,146,
A,2005,Seine,110,
B,2005,Seine,166,
C,2005,Gillnet,721,
D,2005,Gillnet,294,
E,2005,Gillnet,391,
F,2005,Troll,168,
G,2005,Troll,227,
H,2005,Troll,143,
A,2006,Seine,111,
B,2006,Seine,165,
C,2006,Gillnet,699,
D,2006,Gillnet,331,
E,2006,Gillnet,376,
F,2006,Troll,246,
G,2006,Troll,169,
H,2006,Troll,123,
A,2007,Seine,108,
B,2007,Seine,168,
C,2007,Gillnet,658,
D,2007,Gillnet,355,
E,2007,Gillnet,393,
F,2007,Troll,284,
G,2007,Troll,165,
H,2007,Troll,89,
A,2008,Seine,108,
B,2008,Seine,168,
C,2008,Gillnet,658,
D,2008,Gillnet,355,
E,2008,Gillnet,393,
F,2008,Troll,284,
G,2008,Troll,165,
H,2008,Troll,89,
A,2009,Seine,108,
B,2009,Seine,168,
C,2009,Gillnet,658,
D,2009,Gillnet,355,
E,2009,Gillnet,393,
F,2009,Troll,284,
G,2009,Troll,164,
H,2009,Troll,90,
A,2010,Seine,108,
B,2010,Seine,168,
C,2010,Gillnet,654,
D,2010,Gillnet,362,
E,2010,Gillnet,390,
F,2010,Troll,283,
G,2010,Troll,165,
H,2010,Troll,90,
A,2011,Seine,108,
B,2011,Seine,168,
C,2011,Gillnet,640,
D,2011,Gillnet,375,
E,2011,Gillnet,391,
F,2011,Troll,282,
G,2011,Troll,165,
H,2011,Troll,91,
A,2012,Seine,108,
B,2012,Seine,168,
C,2012,Gillnet,638,
D,2012,Gillnet,378,
E,2012,Gillnet,390,
F,2012,Troll,266,
G,2012,Troll,147,
H,2012,Troll,83,
A,2013,Seine,108,
B,2013,Seine,168,
C,2013,Gillnet,633,
D,2013,Gillnet,377,
E,2013,Gillnet,387,
F,2013,Troll,241,
G,2013,Troll,124,
H,2013,Troll,74,
A,2014,Seine,107,
B,2014,Seine,168,
C,2014,Gillnet,629,
D,2014,Gillnet,379,
E,2014,Gillnet,392,
F,2014,Troll,230,
G,2014,Troll,120,
H,2014,Troll,76,
A,2015,Seine,107,
B,2015,Seine,167,
C,2015,Gillnet,627,
D,2015,Gillnet,379,
E,2015,Gillnet,390,
F,2015,Troll,238,
G,2015,Troll,119,
H,2015,Troll,77,
A,2016,Seine,108,
B,2016,Seine,168,
C,2016,Gillnet,630,
D,2016,Gillnet,383,
E,2016,Gillnet,388,
F,2016,Troll,238,
G,2016,Troll,117,
H,2016,Troll,77,
A,2017,Seine,107,
B,2017,Seine,169,
C,2017,Gillnet,626,
D,2017,Gillnet,385,
E,2017,Gillnet,389,
F,2017,Troll,241,
G,2017,Troll,113,
H,2017,Troll,78,
A,2018,Seine,107,
B,2018,Seine,169,
C,2018,Gillnet,627,
D,2018,Gillnet,385,
E,2018,Gillnet,388,
F,2018,Troll,233,
G,2018,Troll,111,
H,2018,Troll,78,
A,2019,Seine,107,
B,2019,Seine,168,
C,2019,Gillnet,622,
D,2019,Gillnet,373,
E,2019,Gillnet,385,
F,2019,Troll,235,
G,2019,Troll,102,
H,2019,Troll,75,
A,2020,Seine,107,
B,2020,Seine,169,
C,2020,Gillnet,627,
D,2020,Gillnet,375,
E,2020,Gillnet,385,
F,2020,Troll,217,
G,2020,Troll,91,
H,2020,Troll,68,
A,2021,Seine,106,
B,2021,Seine,169,
C,2021,Gillnet,627,
D,2021,Gillnet,374,
E,2021,Gillnet,383,
F,2021,Troll,217,
G,2021,Troll,89,
H,2021,Troll,68,
A,2022,Seine,106,
B,2022,Seine,168,
C,2022,Gillnet,623,
D,2022,Gillnet,373,
E,2022,Gillnet,381,
F,2022,Troll,217,
G,2022,Troll,89,
H,2022,Troll,68,
 A,2023,Seine,94,
 B,2023,Seine,153,
C,2023,Gillnet,545,
 D,2023,Gillnet,351,
 E,2023,Gillnet,343,
 F,2023,Troll,197,
 G,2023,Troll,80,
 H,2023,Troll,59,
 A,2024,Seine,85,
 B,2024,Seine,142,
C,2024,Gillnet,455,
 D,2024,Gillnet,294,
 E,2024,Gillnet,275,
 F,2024,Troll,182,
 G,2024,Troll,80,
 H,2024,Troll,48,
