regionid,region,cuid,cu_name_pse,species,sppqualifiedid,locationid,location_name_pse,pointid,latitude,longitude,year,total_release,program,project,cuid_broodstock,facilityid,release_type_pse,dataset_version
1,Skeena,177,Lakelse,Sockeye,1,31544,WILLIAMS CREEK,8923,54.413676,-128.532275,1985,1200,-989898,-989898,177,553,Fry,20240812
1,Skeena,177,Lakelse,Sockeye,1,31544,WILLIAMS CREEK,8923,54.413676,-128.532275,2006,1600,-989898,-989898,177,25,Egg,20240812
1,Skeena,177,Lakelse,Sockeye,1,31544,WILLIAMS CREEK,8923,54.413676,-128.532275,2007,96406,-989898,-989898,177,25,Fry,20240812
1,Skeena,177,Lakelse,Sockeye,1,31544,WILLIAMS CREEK,8923,54.413676,-128.532275,2008,271811,-989898,-989898,177,25,Fry,20240812
1,Skeena,177,Lakelse,Sockeye,1,31544,WILLIAMS CREEK,8923,54.413676,-128.532275,2009,270052,-989898,-989898,177,25,Fry,20240812
1,Skeena,177,Lakelse,Sockeye,1,31544,WILLIAMS CREEK,8923,54.413676,-128.532275,2011,296925,-989898,-989898,177,25,Fry,20240812
1,Skeena,177,Lakelse,Sockeye,1,31544,WILLIAMS CREEK,8923,54.413676,-128.532275,2012,325731,-989898,-989898,177,25,Fry,20240812
1,Skeena,177,Lakelse,Sockeye,1,31544,WILLIAMS CREEK,8923,54.413676,-128.532275,2013,291295,-989898,-989898,177,25,Fry,20240812
1,Skeena,177,Lakelse,Sockeye,1,31544,WILLIAMS CREEK,8923,54.413676,-128.532275,2014,322613,-989898,-989898,177,25,Fry,20240812
1,Skeena,202,Lower Skeena,Coho,6,31485,ZYMACORD RIVER,8887,54.491789,-128.727914,1992,22000,-989898,-989898,202,353,Smolt,20240812
1,Skeena,202,Lower Skeena,Coho,6,31485,ZYMACORD RIVER,8887,54.491789,-128.727914,1997,3000,-989898,-989898,202,353,Smolt,20240812
1,Skeena,202,Lower Skeena,Coho,6,31485,ZYMACORD RIVER,8887,54.491789,-128.727914,1999,40200,-989898,-989898,202,16,Smolt,20240812
1,Skeena,202,Lower Skeena,Coho,6,31485,ZYMACORD RIVER,8887,54.491789,-128.727914,2000,51821,-989898,-989898,202,16,Smolt,20240812
1,Skeena,202,Lower Skeena,Coho,6,31485,ZYMACORD RIVER,8887,54.491789,-128.727914,2001,26880,-989898,-989898,202,16,Smolt,20240812
1,Skeena,202,Lower Skeena,Coho,6,31485,ZYMACORD RIVER,8887,54.491789,-128.727914,2003,29000,-989898,-989898,202,353,Smolt,20240812
1,Skeena,202,Lower Skeena,Coho,6,31485,ZYMACORD RIVER,8887,54.491789,-128.727914,2009,19500,-989898,-989898,202,353,Fry,20240812
1,Skeena,202,Lower Skeena,Coho,6,31485,ZYMACORD RIVER,8887,54.491789,-128.727914,2009,16950,-989898,-989898,202,353,Smolt,20240812
1,Skeena,202,Lower Skeena,Coho,6,31485,ZYMACORD RIVER,8887,54.491789,-128.727914,2010,12000,-989898,-989898,202,353,Smolt,20240812
1,Skeena,202,Lower Skeena,Coho,6,31485,ZYMACORD RIVER,8887,54.491789,-128.727914,2011,8623,-989898,-989898,202,353,Fry,20240812
1,Skeena,202,Lower Skeena,Coho,6,31485,ZYMACORD RIVER,8887,54.491789,-128.727914,2011,22500,-989898,-989898,202,353,Smolt,20240812
1,Skeena,202,Lower Skeena,Coho,6,31485,ZYMACORD RIVER,8887,54.491789,-128.727914,2012,8048,-989898,-989898,202,353,Fry,20240812
1,Skeena,202,Lower Skeena,Coho,6,31485,ZYMACORD RIVER,8887,54.491789,-128.727914,2012,24735,-989898,-989898,202,353,Smolt,20240812
1,Skeena,202,Lower Skeena,Coho,6,31485,ZYMACORD RIVER,8887,54.491789,-128.727914,2013,2086,-989898,-989898,202,353,Fry,20240812
1,Skeena,202,Lower Skeena,Coho,6,31485,ZYMACORD RIVER,8887,54.491789,-128.727914,2013,17060,-989898,-989898,202,353,Smolt,20240812
1,Skeena,202,Lower Skeena,Coho,6,31485,ZYMACORD RIVER,8887,54.491789,-128.727914,2014,21262,-989898,-989898,202,353,Smolt,20240812
1,Skeena,202,Lower Skeena,Coho,6,31485,ZYMACORD RIVER,8887,54.491789,-128.727914,2015,7535,-989898,-989898,202,353,Fry,20240812
1,Skeena,202,Lower Skeena,Coho,6,31485,ZYMACORD RIVER,8887,54.491789,-128.727914,2015,21256,-989898,-989898,202,353,Smolt,20240812
1,Skeena,202,Lower Skeena,Coho,6,31485,ZYMACORD RIVER,8887,54.491789,-128.727914,2016,27063,-989898,-989898,202,353,Smolt,20240812
1,Skeena,202,Lower Skeena,Coho,6,31485,ZYMACORD RIVER,8887,54.491789,-128.727914,2017,27328,-989898,-989898,202,353,Smolt,20240812
1,Skeena,202,Lower Skeena,Coho,6,31485,ZYMACORD RIVER,8887,54.491789,-128.727914,2018,23090,-989898,-989898,202,353,Smolt,20240812
